item,task,worker,tstart,tproc
12,42,3,3738.600000,21.000000
10,53,0,3739.800000,10.800000
14,32,1,3745.200000,30.000000
13,33,4,3747.000000,25.200000
10,54,0,3750.600000,51.000000
12,43,3,3759.600000,10.800000
12,44,3,3770.400000,82.800000
13,34,4,3772.200000,18.000000
14,33,1,3775.200000,25.200000
15,27,2,3780.600000,60.000000
13,35,4,3790.200000,18.000000
11,49,6,3792.000000,6.000000
11,50,6,3798.000000,3.600000
14,34,1,3800.400000,18.000000
10,55,6,3801.600000,66.000000
11,51,0,3801.600000,3.600000
11,52,0,3805.200000,37.800000
13,36,4,3808.200000,21.000000
14,35,1,3818.400000,18.000000
13,37,4,3829.200000,57.600000
16,13,5,3830.400000,94.800000
14,36,1,3836.400000,21.000000
15,28,2,3840.600000,43.800000
11,53,0,3843.000000,10.800000
12,45,3,3853.200000,100.800000
11,54,0,3853.800000,51.000000
17,3,1,3857.400000,42.600000
18,11,6,3867.600000,31.200000
15,10,2,3884.400000,36.600000
13,38,4,3886.800000,22.800000
